name,residential water,residential space,services water,services space
AL0 0,96.05441208529238,0.0005223190040217108,19.80407447628681,0.00014535261015843654
AT0 0,1043.5381109059997,0.0004439813276505695,390.0455654592729,0.0001722803089057867
BA0 0,215.04680306692597,0.00037895649569882976,23.491748345315642,5.416591087453552e-05
BE0 0,1655.0100309741085,0.0019590160903427906,508.80244541374634,0.0009589709510841312
BG0 0,570.4707422436037,0.0002007769802260071,165.0384993817957,5.614743141208308e-05
CH0 0,1011.8082971914863,0.0008360994825252111,318.92912663185103,0.00034975351956096105
CZ0 0,1146.4079035129414,0.0005527553420601776,341.0841595942544,0.00019734908055337325
DE0 0,5686.426490241573,0.00032182982586576714,2468.913033096012,0.00013585269468788022
DE0 1,4361.928948962716,0.0002153105628902762,1893.847260667804,9.083247700258028e-05
DE0 2,4361.928948962716,0.0002153105628902762,1893.847260667804,9.083247700258028e-05
DE0 3,4361.928948962716,0.0002153105628902762,1893.847260667804,9.083247700258028e-05
DE0 4,4361.928948962716,0.0002153105628902762,1893.847260667804,9.083247700258028e-05
DK0 0,489.5463918600979,0.0017234691273743847,127.95656932196995,0.0005835108112074915
DK6 0,343.0852713323116,0.007414388290804378,89.6748807355637,0.0025106985913175644
EE5 0,176.68146408854577,0.0006927155639160711,41.91738015807135,0.00025826277879794664
ES0 0,4431.972466758548,6.763003941646136e-05,1551.298018742681,3.1498700619546614e-05
ES0 1,4431.972466758548,6.763003941646136e-05,1551.298018742681,3.1498700619546614e-05
ES3 0,66.58343385303453,0.03157377722580711,23.305819201724763,0.014566210198036078
FI6 0,1018.0094226962744,6.444356952157376e-05,288.63420355800025,3.240826304229831e-05
FR0 0,2324.4235372510393,0.000291883964708623,842.6950685823016,0.00015350830135530349
FR0 1,3992.119950821221,0.0002578848241704534,1447.3006927664471,0.0001356793686273801
FR0 2,1537.2477784561918,0.00033785759605381107,557.3128568583344,0.00017777759006346497
FR0 3,1537.2477784561918,0.00033785759605381107,557.3128568583344,0.00017777759006346497
FR0 4,1537.2477784561918,0.00033785759605381107,557.3128568583344,0.00017777759006346497
GB2 0,254.3286428664257,0.0029026817555177532,68.05503531564246,0.0010364507169883476
GB4 0,8783.672236562797,0.0001831878284569176,2350.3963907606812,6.554398501988373e-05
GB4 1,8783.672236562797,0.0001831878284569176,2350.3963907606812,6.554398501988373e-05
GR0 0,940.3025839116114,0.0005954112727265164,364.431504175681,0.00010694255228107983
HR0 0,509.23307728554323,0.0011158089526739664,107.46721300660164,0.00019627795042563036
HU0 0,1023.413886405527,0.0005862791022759097,305.78717935779065,0.00018965509301809518
IE2 0,729.0169764973143,0.0006406265663183052,195.0003522276196,0.0002148056295811165
IT0 0,7240.370085114229,0.0002042524697718557,2171.3836518376893,6.888452464723446e-05
IT0 1,7240.370085114229,0.0002042524697718557,2171.3836518376893,6.888452464723446e-05
IT1 0,195.92062212781917,0.005086511103366252,58.756504287101535,0.0017165760990732807
LT5 0,292.1345773354331,0.0003724305720899216,71.9946196757172,0.00011528464308908611
LU0 0,60.84963672200658,0.01952657445887333,43.665982398807465,0.011489716365881043
LV5 0,266.85761340452603,0.0004741355407827281,69.2307238278229,0.00017753673535209478
ME0 0,53.58053011652464,0.0017416046482869071,2.5569493560889422,9.26576570965912e-05
MK0 0,90.03409989548494,0.0017949775478224527,25.557715736155142,0.0007680904440764432
NL0 0,2459.373741643696,0.0012949980130470622,991.491514115432,0.0006658812922473069
NO6 0,680.5713082173681,6.479109023273496e-05,306.92636993616037,4.150349961358532e-05
PL0 0,4180.639697965018,9.683373724164794e-05,933.0641327787047,3.2360880881884195e-05
PT0 0,785.4235561506786,0.00021699824911378303,266.9009056800873,0.00020631564868716919
RO0 0,1417.5125372217228,0.00011749089753400769,270.0076973768993,2.298651539796951e-05
RS0 0,575.9545909677145,0.00024413290984031551,106.03982040153593,6.38979974224184e-05
SE6 0,1523.6881052611734,4.709466883617488e-05,484.380121112283,2.0317859357392967e-05
SI0 0,332.7264263191456,0.0017707653436063054,59.095311467922755,0.0005930824666600112
SK0 0,454.90656118812853,0.0004806992634086535,175.20172122819682,0.0003391273578203194
